,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
133,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     OC,28.71204727553203,g/ton,,,,,,,,,2022
134,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     CH4,18948.574563151422,g/ton,,,,,,,,,2022
135,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     N2O,39.09565727149493,g/ton,,,,,,,,,2022
136,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO2,1981752.7904927405,g/ton,,,,,,,,,2022
137,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,Urban Emissions: grams/ton,0.0,,,,,,,,,,2022
138,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     VOC,18.01720071747639,g/ton,,,,,,,,,2022
139,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO,79.29578792953943,g/ton,,,,,,,,,2022
140,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     NOx,115.14068857051384,g/ton,,,,,,,,,2022
141,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM10,3.1570487992497824,g/ton,,,,,,,,,2022
142,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM2.5,2.7274350607055524,g/ton,,,,,,,,,2022
143,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     SOx,23.166420029913983,g/ton,,,,,,,,,2022
144,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     BC,0.3462668556708439,g/ton,,,,,,,,,2022
145,Conversion: Input Supply Chains,Ammonia,Ammonia,Ag_Inputs,primary product,,     OC,0.9397157487758694,g/ton,,,,,,,,,2022
146,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Energy Use: mmBtu/ton of product,0.0,,using placeholder Alcohol Synthesis Catalyst,,,,,,,,2022
147,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Total Energy,134.452363111804,mmBtu/ton,,,,,,,,,2022
